sdbm,int128decimal64,parity,rand,hamming,matrixprod,all_metrics,hd,memory
95690.12,1256.82,20487.78,15406.94,523.32,181.05,232.22,1051.89,32854.52
95819.24,1257.36,20565.55,15287.90,524.10,185.24,232.57,1052.30,32895.16
95066.34,1253.60,20548.89,15304.08,525.49,184.51,232.43,1052.01,32915.91
95546.89,1260.01,20518.52,15268.71,526.47,181.71,232.46,1051.30,32939.95
95516.20,1264.99,20699.67,15309.14,526.94,182.50,232.18,1051.92,32978.80
95715.52,1260.12,20580.78,15285.62,526.66,183.20,232.30,1051.62,32833.98
95451.54,1249.00,20657.67,15295.53,524.19,186.14,231.91,1051.09,32829.41
95526.81,1259.55,20610.98,15350.63,525.74,177.48,232.00,1051.19,32839.84
95139.98,1254.30,20616.48,15270.47,524.58,180.30,232.10,1051.38,32865.63
95321.06,1251.76,20542.18,15275.53,524.92,179.72,232.03,1051.46,32781.03
95344.68,1255.28,20488.05,15302.18,525.57,190.87,232.41,1050.98,32855.84
95956.75,1256.97,20511.42,15259.70,523.84,187.30,232.24,1050.92,32800.05
95170.56,1247.85,20501.02,15268.33,525.63,181.45,231.47,1051.00,36169.63
94929.37,1254.06,20647.98,15328.15,525.59,186.81,231.14,1051.91,32777.64
95014.06,1256.61,20547.74,15254.96,520.15,186.62,231.48,1051.00,36233.60
95416.53,1250.14,20587.54,15241.99,525.35,186.00,232.22,1051.12,32778.27
95384.04,1252.68,20486.52,15300.83,526.17,186.30,232.31,1051.48,32791.16
94806.80,1258.22,20522.56,15279.44,522.56,181.26,227.02,1051.30,32819.66
95070.99,1250.79,20521.06,15245.85,525.28,188.80,232.40,1051.04,32797.57
95475.80,1255.02,20589.06,15288.67,525.26,183.82,231.24,1051.54,32805.90
94993.46,1248.26,20461.29,15311.50,524.54,184.52,231.76,1052.89,36325.74
95782.69,1259.79,20697.07,15423.90,527.89,181.08,232.87,1051.80,32834.30
94937.62,1253.15,20547.08,15215.19,524.44,190.49,231.81,1051.01,32848.18
94964.78,1250.23,20544.40,15262.94,524.58,187.64,232.06,1051.78,32849.62
95380.58,1256.43,20673.51,15252.23,524.25,180.51,232.15,1051.08,32862.35
