sysbench_primes
38.42
13.72
6.23
35.03
6.43
40.34
6.63
7.29
33.34
9.16
9.59
11.59
0.23
6.27
5.46
31.16
26.69
26.55
39.34
37.21
41.73
40.96
41.28
38.31
40.33
41.76
41.91
41.57
41.45
33.48
41.39
39.61
41.70
39.31
41.82
38.06
34.87
41.21
41.86
40.19
38.63
38.94
32.08
37.16
41.07
41.56
41.57
40.31
39.87
36.81
39.90
36.64
40.44
41.62
40.68
41.11
10.62
10.90
10.63
11.64
12.03
11.14
37.64
29.52
38.33
41.76
41.80
41.63
41.41
41.26
41.42
40.84
41.91
41.17
41.89
40.63
40.76
37.53
40.64
42.07
42.08
39.91
40.64
41.36
40.85
41.48
41.32
39.54
36.65
40.58
40.77
41.84
41.84
41.85
40.56
37.54
38.34
41.86
40.42
40.72
