sysbench_primes
36.55
36.62
36.32
36.56
36.45
36.69
36.27
36.45
36.54
36.42
36.70
36.58
36.54
36.57
36.55
36.59
36.57
36.55
36.58
36.57
36.55
36.56
36.54
36.61
36.61
36.57
36.56
3.57
20.14
3.58
3.57
3.57
3.56
3.58
3.57
3.57
3.58
3.58
3.58
3.58
3.53
3.55
3.56
3.54
3.51
3.54
3.55
3.55
3.56
3.54
3.52
3.56
3.51
3.55
3.56
3.52
3.53
3.53
3.52
3.54
3.52
3.51
3.52
3.45
3.54
3.55
3.54
3.49
3.53
3.55
3.53
3.56
3.55
3.55
3.58
3.50
3.52
3.50
3.55
3.56
20.49
3.55
3.54
3.57
3.51
3.55
3.53
3.56
3.52
3.55
3.55
3.55
2.46
3.57
3.56
24.74
3.51
3.52
3.55
3.55
