sdbm,int128decimal64,parity,rand,hamming,matrixprod,all_metrics,hd,memory
9380.16,122.73,2014.14,1493.86,51.87,17.54,21.51,981.21,0.00
9362.84,122.67,2026.91,1509.71,52.21,18.47,21.63,976.68,0.00
9477.86,123.19,2039.97,1504.24,51.30,17.54,21.71,966.66,0.00
65476.37,471.93,2026.42,1504.41,52.03,18.48,21.56,978.91,0.00
9325.84,121.94,2021.24,1490.87,51.78,18.40,21.67,978.71,0.00
9329.69,122.86,2040.01,1507.58,51.50,18.26,21.47,970.81,0.00
9303.12,122.68,2022.18,1498.78,51.01,17.37,21.28,976.81,0.00
9240.61,121.59,2026.97,1505.11,51.66,17.93,21.48,978.62,0.00
9338.67,121.16,2053.24,1525.41,52.01,17.67,21.65,980.72,0.00
9384.95,122.28,2029.40,1513.77,51.17,17.56,21.58,976.67,0.00
9412.71,121.32,2003.17,1505.80,51.39,17.56,197.12,1009.49,0.00
9286.71,123.37,2014.55,1498.10,51.23,17.15,21.60,980.14,0.00
9355.48,121.82,2019.18,1493.99,51.70,17.14,21.66,982.41,0.00
9367.62,123.49,2035.56,1521.91,52.18,18.11,21.69,975.90,0.00
9362.20,80.19,1364.19,1088.39,44.11,14.50,19.73,952.03,0.00
5955.03,82.36,2024.61,1516.89,52.29,18.11,21.53,980.31,0.00
9456.86,122.42,2036.83,1503.20,52.48,17.64,21.86,982.16,0.00
9489.84,122.24,2028.47,1489.46,52.08,17.68,21.69,984.52,12881.11
21846.15,120.78,2034.95,1501.60,51.45,17.47,21.52,981.80,0.00
9428.59,123.69,2030.20,1501.73,52.25,17.70,21.54,981.42,0.00
9483.60,122.70,2024.72,1501.33,52.54,18.69,21.68,977.36,0.00
9390.77,122.50,2020.42,1513.52,52.14,17.90,21.64,976.50,0.00
