sysbench_primes
39.88
40.24
40.08
40.12
40.16
40.28
40.24
40.18
40.28
40.24
40.18
40.16
40.24
40.09
40.21
40.26
40.18
40.17
40.17
40.22
40.00
40.23
40.00
40.22
40.16
40.06
40.08
40.14
40.15
40.21
40.26
40.23
40.20
40.22
40.22
40.15
40.13
40.19
40.17
40.21
40.25
40.18
40.21
40.09
40.23
40.20
40.10
40.11
39.80
40.22
39.81
40.16
40.04
40.14
40.20
40.28
40.03
40.11
40.16
40.19
40.09
40.09
40.07
40.14
39.92
40.17
39.86
40.20
39.95
40.14
40.15
40.19
39.96
40.10
40.17
40.09
40.12
40.13
40.13
40.17
40.19
40.16
40.14
40.15
40.09
40.11
40.20
40.07
40.17
40.22
40.16
40.20
40.18
40.25
40.03
40.11
35.90
40.27
40.11
40.08
